File path,Image label
dataset2/sunrise183.jpg,sunrise
dataset2/sunrise264.jpg,sunrise
dataset2/sunrise72.jpg,sunrise
dataset2/sunrise5.jpg,sunrise
dataset2/rain67.jpg,rain
dataset2/sunrise295.jpg,sunrise
dataset2/sunrise309.jpg,sunrise
dataset2/cloudy217.jpg,cloudy
dataset2/rain213.jpg,rain
dataset2/shine162.jpg,shine
dataset2/shine13.jpg,shine
dataset2/cloudy207.jpg,cloudy
dataset2/shine33.jpg,shine
dataset2/shine105.jpg,shine
dataset2/sunrise346.jpg,sunrise
dataset2/sunrise185.jpg,sunrise
dataset2/sunrise198.jpg,sunrise
dataset2/sunrise174.jpg,sunrise
dataset2/cloudy226.jpg,cloudy
dataset2/cloudy49.jpg,cloudy
dataset2/cloudy42.jpg,cloudy
dataset2/shine249.jpg,shine
dataset2/rain109.jpg,rain
dataset2/sunrise331.jpg,sunrise
dataset2/cloudy260.jpg,cloudy
dataset2/cloudy232.jpg,cloudy
dataset2/cloudy262.jpg,cloudy
dataset2/cloudy22.jpg,cloudy
dataset2/cloudy274.jpg,cloudy
dataset2/cloudy285.jpg,cloudy
dataset2/sunrise137.jpg,sunrise
dataset2/shine209.jpg,shine
dataset2/cloudy175.jpg,cloudy
dataset2/shine123.jpg,shine
dataset2/cloudy115.jpg,cloudy
dataset2/cloudy39.jpg,cloudy
dataset2/rain190.jpg,rain
dataset2/cloudy60.jpg,cloudy
dataset2/sunrise271.jpg,sunrise
dataset2/cloudy107.jpg,cloudy
dataset2/cloudy143.jpg,cloudy
dataset2/rain27.jpg,rain
dataset2/sunrise181.jpg,sunrise
dataset2/rain122.jpg,rain
dataset2/cloudy277.jpg,cloudy
dataset2/rain37.jpg,rain
dataset2/shine30.jpg,shine
dataset2/cloudy286.jpg,cloudy
dataset2/sunrise34.jpg,sunrise
dataset2/shine104.jpg,shine
dataset2/sunrise56.jpg,sunrise
dataset2/sunrise356.jpg,sunrise
dataset2/rain3.jpg,rain
dataset2/sunrise341.jpg,sunrise
dataset2/cloudy120.jpg,cloudy
dataset2/rain185.jpg,rain
dataset2/shine151.jpg,shine
dataset2/shine3.jpg,shine
dataset2/sunrise164.jpg,sunrise
dataset2/rain33.jpg,rain
